"cohort","rfid","sex","labanimalid","esc11_14_mean","mean_sha_last3","pr01","pr02","pr03","shock03","lga_11_age","sha_08_age","pr_01_age","pr_02_age","pr_03_age","shock_03_age","lga_11_box","pr_01_box","pr_02_box","pr_03_box","sha_08_box","shock_03_box","add_ind"
"C04","933000120138584","M","M451",110.5,11,3,15,1,14,83,63,68,90,93,99,"K2-2","K2-2","K2-2","K2-2","K2-2","MED1110-9",1.67199777699366
"C04","933000120138585","F","F423",23.25,1.66666666666667,1,13,5,25,85,65,70,92,95,101,"K2-1","K2-1","K2-1","K2-1","K2-1","MED1110-2",-0.318846223167241
"C04","933000120138589","M","M457",-3.75,1.33333333333333,0,1,2,4,81,61,66,88,91,97,"K3-2","K3-2","K3-2","K3-2","K3-2","MED1110-15",-1.26855927780324
"C04","933000120138591","F","F402",NA,0,NA,NA,NA,NA,NA,65,NA,NA,NA,NA,NA,NA,NA,NA,"MED1110-2",NA,NA
"C04","933000120138592","M","M467",-3,0.666666666666667,0,1,3,13,81,61,66,88,91,97,"Q3-6","Q3-6","Q3-6","Q3-6","Q3-6","MED1110-15",-1.05027446593134
"C04","933000120138594","F","F407",NA,0,NA,NA,NA,NA,NA,61,NA,NA,NA,NA,NA,NA,NA,NA,"MED1110-7",NA,NA
"C04","933000120138596","F","F420",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C04","933000120138598","M","M459",135.25,2,3,5,6,20,85,65,70,92,95,101,"K3-4","K3-4","K3-4","K3-4","K3-4","MED1110-9",-0.33564569199797
"C04","933000120138599","M","M468",108.5,8,6,13,13,1,81,61,66,88,91,97,"Q3-1","K3-3","Q3-1","Q3-1","K3-3","MED1110-16",0.691516171408174
"C04","933000120138600","M","M473",81,1,1,8,0,7,85,65,70,92,95,101,"Q3-6","Q3-6","Q3-6","Q3-6","Q3-6","MED1110-13",-0.359441963847554
"C04","933000120138601","M","M452",-3.75,0.333333333333333,1,0,0,1,83,63,68,90,93,99,"K2-3","K2-3","K2-3","K2-3","K2-3","MED1110-10",-1.40268163820151
"C04","933000120138603","M","M460",-104.75,9,2,0,0,15,85,65,70,92,95,101,"K3-5","K3-5","K3-5","K3-5","K3-5","MED1110-10",-0.778158252724427
"C04","933000120138604","F","F405",-0.75,0.333333333333333,0,0,0,0,81,61,66,88,91,97,"MED1110-5","MED1110-5","MED1110-5","MED1110-5","MED1110-5","MED1110-3",-2.11976565882245
"C04","933000120138605","F","F419",91.75,17.3333333333333,6,12,12,4,85,65,70,92,95,101,"K1-3","K1-3","K1-3","K1-3","K1-3","MED1110-7",-0.169804183340152
"C04","933000120138619","F","F408",39.25,22.6666666666667,3,10,10,26,81,61,66,88,91,97,"MED1110-8","MED1110-8","MED1110-8","MED1110-8","MED1110-8","MED1110-5",0.316465955020782
"C04","933000120138629","M","M458",-9.25,12.3333333333333,3,6,3,20,81,61,66,88,91,97,"K3-3","K3-3","K3-3","K3-3","K3-3","MED1110-16",-0.46947213174306
"C04","933000120138656","M","M471",121,2.33333333333333,5,13,14,25,85,65,70,92,95,101,"Q3-4","Q3-4","Q3-4","Q3-4","Q3-4","MED1110-11",1.61520716912679
"C04","933000120138657","M","M461",67,2,0,3,2,5,85,65,70,92,95,101,"K3-6","K3-6","K3-6","K3-6","K3-6","MED1110-11",-0.767751982025037
"C04","933000120138660","F","F404",NA,0,NA,NA,NA,NA,NA,68,NA,NA,NA,NA,NA,NA,NA,NA,"MED1110-4",NA,NA
"C04","933000120138661","M","M456",4,20.3333333333333,7,4,4,24,88,68,73,95,98,104,"K3-1","K3-1","K3-1","K3-1","K3-1","MED1110-14",-0.113193467062526
"C04","933000120138662","M","M455",122.75,2.33333333333333,0,11,14,21,88,68,73,95,98,104,"K2-6","K2-6","K2-6","K2-6","K2-6","MED1110-13",1.61520716912679
"C04","933000120138663","F","F413",58.25,0,0,9,8,9,85,65,70,92,95,101,"MED1110-13","MED1110-13","MED1110-13","MED1110-13","MED1110-13","MED1110-2",-0.780542146441773
"C04","933000120138665","M","M453",79.25,12.6666666666667,3,11,10,8,88,68,73,95,98,104,"K2-4","K2-4","K2-4","K2-4","K2-4","MED1110-11",0.183286335381389
"C04","933000120138666","F","F412",15.25,33,6,14,12,10,85,65,70,92,95,101,"MED1110-12","MED1110-12","MED1110-12","MED1110-12","MED1110-12","MED1110-1",0.397444935986469
"C04","933000120138667","M","M470",-3.75,NA,NA,2,0,2,85,NA,NA,92,95,101,"Q3-3",NA,"Q3-3","Q3-3",NA,"MED1110-10",-1.25368967338711
"C04","933000120138668","M","M469",114,1.66666666666667,2,8,11,10,85,65,70,92,95,101,"Q3-2","Q3-2","Q3-2","Q3-2","Q3-2","MED1110-9",0.3319823795426
"C04","933000120138669","M","M454",-4.5,12.3333333333333,4,9,9,15,88,68,73,95,98,104,"K2-5","K2-5","K2-5","K2-5","K2-5","MED1110-12",-0.0861420680279021
"C04","933000120138670","M","M462",71.25,1.66666666666667,4,13,12,5,85,65,70,92,95,101,"Q3-1","Q3-1","Q3-1","Q3-1","Q3-1","MED1110-12",0.750994589072658
"C04","933000120138671","M","M464",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C04","933000120138672","F","F422",56,10.3333333333333,6,5,0,25,88,68,73,95,98,104,"K1-6","K1-6","K1-6","K1-6","K1-6","MED1110-1",-0.202312587949774
"C04","933000120138673","M","M472",78.25,0.333333333333333,1,11,13,9,85,65,70,92,95,101,"Q3-5","Q3-5","Q3-5","Q3-5","Q3-5","MED1110-12",0.691516171408174
"C04","933000120138674","F","F410",3,0.666666666666667,1,2,16,14,88,68,73,95,98,104,"MED1110-10","MED1110-10","MED1110-10","MED1110-10","MED1110-10","MED1110-7",-0.31321239339139
"C04","933000120138675","F","F409",17.75,49.6666666666667,13,12,12,27,88,68,73,95,98,104,"MED1110-9","MED1110-9","MED1110-9","MED1110-9","MED1110-9","MED1110-6",0.570723977743135
"C04","933000120138677","F","F411",19.5,33,7,16,20,22,88,68,73,95,98,104,"MED1110-11","MED1110-11","MED1110-11","MED1110-11","MED1110-11","MED1110-8",1.01423614646334
"C04","933000120138679","F","F401",46.25,7,4,12,13,21,85,65,70,92,95,101,"MED1110-1","MED1110-1","MED1110-1","MED1110-1","MED1110-1","MED1110-1",0.279409482004747
"C04","933000120138680","F","F421",51.75,39,6,11,11,26,88,68,73,95,98,104,"K1-5","K1-5","K1-5","K1-5","K1-5","MED1110-8",0.543554747397401
"C05","933000120138406","F","F514",66.25,0,0,8,5,14,106,86,91,114,119,122,"MED1110-14","MED1110-14","MED1110-14","MED1110-14","MED1110-14","MED1110-6",-0.447455136461834
"C05","933000120138407","M","M567",15,1,1,2,4,2,107,87,92,115,120,123,"MED1113-13","MED1113-13","MED1113-13","MED1113-13","MED1113-13","MED1110-9",-0.940561856799823
"C05","933000120138409","M","M568",0.75,0.333333333333333,0,0,0,1,104,84,89,112,117,120,"MED1113-14","MED1113-14","MED1113-14","MED1113-14","MED1113-14","MED1110-10",-1.19922693732288
"C05","933000120138410","F","F518",24,16.3333333333333,5,12,12,9,107,87,92,115,120,123,"K1-2","K1-2","K1-2","K1-2","K1-2","MED1110-2",0.230356717556383
"C05","933000120138411","F","F515",40.25,0.333333333333333,2,13,2,NA,108,88,93,116,121,NA,"MED1110-15","MED1110-15","MED1110-15","MED1110-15","MED1110-15",NA,NA
"C05","933000120138412","F","F511",-18.75,36.5,10,10,10,6,108,88,93,116,121,124,"MED1110-11","MED1110-11","MED1110-11","MED1110-11","MED1110-11","MED1110-3",-0.101826437184195
"C05","933000120138414","M","M563",-2.25,0,0,0,0,2,106,86,91,114,119,122,"MED1113-9","MED1113-9","MED1113-9","MED1113-9","MED1113-9","MED1110-13",-1.18102245448451
"C05","933000120138415","M","M561",25.5,20.3333333333333,7,14,13,16,108,88,93,116,121,124,"MED1113-7","MED1113-7","MED1113-7","MED1113-7","MED1113-7","MED1110-11",1.34532055734561
"C05","933000120138417","M","M564",9.75,2.66666666666667,2,12,1,6,106,86,91,114,119,122,"MED1113-10","MED1113-10","MED1113-10","MED1113-10","MED1113-10","MED1110-14",NA
"C05","933000120138420","M","M562",10.25,17.6666666666667,12,12,13,3,108,88,93,116,121,124,"MED1113-8","MED1113-8","MED1113-8","MED1113-8","MED1113-8","MED1110-12",0.81973754741841
"C05","933000120138424","F","F508",-7.75,27.3333333333333,14,10,11,24,108,88,93,116,121,124,"MED1110-8","MED1110-8","MED1110-8","MED1110-8","MED1110-8","MED1110-8",0.27944406289946
"C05","933000120138427","M","M565",84.75,0.333333333333333,0,8,12,15,108,88,93,116,121,124,"MED1113-11","MED1113-11","MED1113-11","MED1113-11","MED1113-11","MED1110-15",0.743520435845247
"C05","933000120138432","F","F516",NA,0.333333333333333,NA,NA,NA,NA,NA,75,NA,NA,NA,NA,NA,NA,NA,NA,"MED1110-16",NA,NA
"C05","933000120138434","M","M566",0.5,0,0,0,0,1,96,76,81,104,109,112,"MED1113-12","MED1113-12","MED1113-12","MED1113-12","MED1113-12","MED1110-16",-1.19922693732288
"C05","933000120138436","M","M570",103.75,0.666666666666667,1,12,13,8,99,79,84,107,112,115,NA,NA,NA,NA,NA,"MED1110-12",0.977382742953666
"C05","933000120138437","M","M580",73.75,0.666666666666667,2,10,11,2,98,78,83,106,111,114,"Q3-6","Q3-6","Q3-6","Q3-6","Q3-6","MED1110-14",0.291470274531427
"C05","933000120138440","F","F530",139,0.333333333333333,1,11,14,6,96,76,81,104,109,112,"K3-2","K3-2","K3-2","K3-2","K3-2","MED1110-6",0.503537712137371
"C05","933000120138447","F","F529",135.5,2.33333333333333,2,11,16,29,96,76,81,104,109,112,"K3-1","K3-1","K3-1","K3-1","K3-1","MED1110-5",1.3685406985009
"C05","933000120138454","F","F527",114.5,1.66666666666667,0,12,8,14,99,79,84,107,112,115,"K2-5","K2-5","K2-5","K2-5","K2-5","MED1110-3",0.464952880716203
"C05","933000120138455","M","M579",-4.75,1.33333333333333,2,0,1,3,98,78,83,106,111,114,"Q3-5","Q3-5","Q3-5","Q3-5","Q3-5","MED1110-13",-1.0381388649504
"C05","933000120138494","F","F501",9.5,44.3333333333333,8,13,14,16,109,89,94,117,122,125,"MED1110-1","MED1110-1","MED1110-1","MED1110-1","MED1110-1","MED1110-1",0.98414233351849
"C05","933000120138496","F","F502",3.75,0.333333333333333,1,1,1,0,109,89,94,117,122,125,"MED1110-2","MED1110-2","MED1110-2","MED1110-2","MED1110-2","MED1110-2",-1.6042875072639
"C05","933000120138500","M","M552",-1.25,1,1,0,0,2,109,89,94,117,122,125,"K3-4","K3-4","K3-4","K3-4","K3-4","MED1110-10",-1.08826615000503
"C05","933000120138504","M","M551",-1,2,0,1,9,8,109,89,94,117,122,125,"K3-3","K3-3","K3-3","K3-3","K3-3","MED1110-9",-0.609000753214234
"C05","933000120138607","F","F512",-54.5,20.6666666666667,9,0,2,8,109,89,94,117,122,125,"MED1110-12","MED1110-12","MED1110-12","MED1110-12","MED1110-12","MED1110-4",-1.31624555081455
"C05","933000120138609","M","M558",1.25,0.333333333333333,1,4,4,4,109,89,94,117,122,125,"MED1113-4","MED1113-4","MED1113-4","MED1113-4","MED1113-4","MED1110-16",-0.892805877726213
"C05","933000120138611","F","F509",-1.5,0.666666666666667,1,0,7,11,109,89,94,117,122,125,"MED1110-9","MED1110-9","MED1110-9","MED1110-9","MED1110-9","MED1110-1",-0.999002035788777
"C05","933000120138615","M","M557",62.25,7.33333333333333,4,7,9,7,109,89,94,117,122,125,"MED1113-3","MED1113-3","MED1113-3","MED1113-3","MED1113-3","MED1110-15",0.311897231065027
"C05","933000120138616","M","M559",54.25,11,7,12,12,5,109,89,94,117,122,125,"MED1113-5","MED1113-5","MED1113-5","MED1113-5","MED1113-5","MED1110-9",0.918867358700455
"C05","933000120138623","F","F507",-118,40.6666666666667,9,NA,NA,NA,109,89,94,NA,NA,NA,"MED1110-7","MED1110-7",NA,NA,"MED1110-7",NA,NA
"C05","933000120138627","M","M560",-4.75,2.33333333333333,1,1,2,4,109,89,94,117,122,125,"MED1113-6","MED1113-6","MED1113-6","MED1113-6","MED1113-6","MED1110-10",-1.01029635526474
"C05","933000120138630","F","F510",1.75,1,1,0,3,2,109,89,94,117,122,125,"MED1110-10","MED1110-10","MED1110-10","MED1110-10","MED1110-10","MED1110-2",-1.568335091688
"C05","933000120138682","F","F504",-32.25,3,2,5,5,1,109,89,94,117,122,125,"MED1110-4","MED1110-4","MED1110-4","MED1110-4","MED1110-4","MED1110-4",-1.43383867010895
"C05","933000120138684","F","F506",13.75,32,10,10,10,8,109,89,94,117,122,125,"MED1110-6","MED1110-6","MED1110-6","MED1110-6","MED1110-6","MED1110-6",0.0884200647000613
"C05","933000120138686","F","F505",34,14.6666666666667,9,11,8,35,109,89,94,117,122,125,"MED1110-5","MED1110-5","MED1110-5","MED1110-5","MED1110-5","MED1110-5",0.547962499102255
"C05","933000120138687","F","F532",84.75,21,2,9,10,30,110,90,95,118,123,126,"MED1110-13","MED1110-13","MED1110-13","MED1110-13","MED1110-13","MED1110-5",0.3541611498553
"C05","933000120138689","M","M554",67,0.333333333333333,0,7,15,5,109,89,94,117,122,125,"K3-6","K3-6","K3-6","K3-6","K3-6","MED1110-12",0.636083407426045
"C05","933000120138690","F","F503",45,19,11,16,16,18,109,89,94,117,122,125,"MED1110-3","MED1110-3","MED1110-3","MED1110-3","MED1110-3","MED1110-3",1.8742736525619
"C05","933000120138696","M","M555",15.5,0.666666666666667,1,11,9,0,109,89,94,117,122,125,"MED1113-1","MED1113-1","MED1113-1","MED1113-1","MED1113-1","MED1110-13",0.338927408748402
"C05","933000120138698","M","M556",5.5,0.333333333333333,1,16,11,5,109,89,94,117,122,125,"MED1113-2","MED1113-2","MED1113-2","MED1113-2","MED1113-2","MED1110-14",0.834843304961033
"C05","933000120138700","M","M553",2,0.333333333333333,0,0,6,0,109,89,94,117,122,125,"K3-5","K3-5","K3-5","K3-5","K3-5","MED1110-11",-1.11368078524376
"C05","933000120138707","F","F528",96.5,50.3333333333333,10,12,13,22,106,86,91,114,119,122,"K2-6","K2-6","K2-6","K2-6","K2-6","MED1110-4",0.873387494040536
"C05","933000120138708","M","M572",38.25,1,1,3,10,7,105,85,90,113,118,121,NA,NA,NA,NA,NA,"MED1110-14",0.0423691597727281
"C05","933000120138711","F","F521",6.75,2,2,6,7,NA,104,84,89,112,117,NA,"K1-5","K1-5","K1-5","K1-5","K1-5",NA,-0.522818446445078
"C05","933000120138712","F","F519",-0.75,1.66666666666667,2,13,9,6,105,85,90,113,118,121,"K1-3","K1-3","K1-3","K1-3","K1-3","MED1110-3",0.277220217749461
"C05","933000120138715","F","F522",87,0.666666666666667,0,NA,13,1,104,84,89,NA,117,120,"K1-6","K1-6",NA,"K1-6","K1-6","MED1110-6",0.232665067265124
"C05","933000120138717","M","M571",76,1,2,10,9,5,105,85,90,113,118,121,NA,NA,NA,NA,NA,"MED1110-13",0.784027776812145
"C05","933000120138718","M","M574",-2.5,3,2,2,2,2,104,84,89,112,117,120,NA,NA,NA,NA,NA,"MED1110-16",-0.828201719404948
"C05","933000120138722","F","F520",88.75,2.66666666666667,2,11,14,23,105,85,90,113,118,121,"K1-4","K1-4","K1-4","K1-4","K1-4","MED1110-4",0.677204522854893
"C05","933000120138724","M","M569",-7,9,3,2,7,8,106,86,91,114,119,122,NA,NA,NA,NA,NA,"MED1110-11",-0.501105256036683
"C05","933000120138726","F","F517",19.5,2,1,NA,NA,NA,104,84,89,NA,NA,NA,"K1-1","K1-1",NA,NA,"K1-1",NA,NA
"C05","933000120138730","M","M573",54,0.666666666666667,2,11,13,13,104,84,89,112,117,120,NA,NA,NA,NA,NA,"MED1110-15",1.04799699349139
"C05","933000120138732","F","F525",-176,29.6666666666667,7,NA,NA,NA,99,79,84,NA,NA,NA,"K2-3","K2-3",NA,NA,"K2-3",NA,NA
"C05","933000120138734","M","M576",44.5,2.66666666666667,1,8,10,14,104,84,89,112,117,120,"Q3-2","Q3-2","Q3-2","Q3-2","Q3-2","MED1110-10",0.793356227175568
"C05","933000120138736","M","M578",100,4,6,10,12,5,100,80,85,108,113,116,"Q3-4","Q3-4","Q3-4","Q3-4","Q3-4","MED1110-12",1.11169364566073
"C05","933000120138743","F","F524",71.25,1.66666666666667,1,11,11,9,104,84,89,112,117,120,"K2-2","K2-2","K2-2","K2-2","K2-2","MED1110-8",-0.275724163753261
"C05","933000120138744","M","M577",114.25,0.333333333333333,0,10,12,7,99,79,84,107,112,115,"Q3-3","Q3-3","Q3-3","Q3-3","Q3-3","MED1110-11",0.934419773460727
"C05","933000120138748","F","F526",103.5,0,0,6,16,10,100,80,85,108,113,116,"K2-4","K2-4","K2-4","K2-4","K2-4","MED1110-2",0.229093438985895
"C05","933000120138750","M","M575",58,5.66666666666667,4,9,7,1,104,84,89,112,117,120,"Q3-1","Q3-1","Q3-1","Q3-1","Q3-1","MED1110-9",0.2098481715761
"C05","933000120138754","F","F523",-24,13.6666666666667,8,4,12,14,104,84,89,112,117,120,"K2-1","K2-1","K2-1","K2-1","K2-1","MED1110-7",-0.677882748129235
"C07","933000320045652","F","F729",73.25,1.33333333333333,1,15,14,8,100,79,84,106,113,108,"MED1112-13","MED1112-13","MED1112-13","MED1112-13","MED1112-13","BSB273B-5",0.207464193008085
"C07","933000320045653","F","F723",13,50.6666666666667,11,13,9,15,100,79,84,106,113,108,"MED1112-7","MED1112-7","MED1112-7","MED1112-7","MED1112-7","BSB273B-7",0.842387217784632
"C07","933000320045657","M","M755",36.5,0.333333333333333,0,13,15,11,100,79,84,106,113,108,"MED1113-3","MED1113-3","MED1113-3","MED1113-3","MED1113-3","BSB273B-13",0.319321505685553
"C07","933000320045659","M","M761",58.25,5.33333333333333,2,8,11,7,100,79,84,106,113,108,"MED1113-9","MED1113-9","MED1113-9","MED1113-9","MED1113-9","BSB273B-11",-0.133399392457955
"C07","933000320045660","M","M775",21.75,35.3333333333333,12,12,13,10,99,78,83,105,112,107,"MED1114-7","MED1114-7","MED1114-7","MED1114-7","MED1114-7","BSB273B-9",0.241892488574751
"C07","933000320045661","F","F728",20.75,25,7,10,13,6,99,78,83,105,112,107,"MED1112-12","MED1112-12","MED1112-12","MED1112-12","MED1112-12","BSB273B-4",-0.0241024369283682
"C07","933000320045667","F","F730",27.5,34.6666666666667,8,18,15,12,100,79,84,106,113,108,"MED1112-14","MED1112-14","MED1112-14","MED1112-14","MED1112-14","BSB273B-6",0.96473761747289
"C07","933000320045670","M","M774",17.25,0,0,0,11,3,100,79,84,106,113,108,"MED1114-6","MED1114-6","MED1114-6","MED1114-6","MED1114-6","BSB273B-16",-0.871338908235682
"C07","933000320045671","F","F713",-7.5,41,9,12,1,10,100,79,84,106,113,108,"MED1110-13","MED1110-13","MED1110-13","MED1110-13","MED1110-13","BSB273B-5",0.102839738763795
"C07","933000320045672","M","M767",64.5,1.66666666666667,1,16,15,5,100,79,84,106,113,108,"MED1113-15","MED1113-15","MED1113-15","MED1113-15","MED1113-15","BSB273B-9",0.314291262994648
"C07","933000320045674","M","M762",-48,50.6666666666667,5,14,19,23,100,79,84,106,113,108,"MED1113-10","MED1113-10","MED1113-10","MED1113-10","MED1113-10","BSB273B-12",1.21343928823349
"C07","933000320045675","F","F727",-29.75,28.3333333333333,9,1,1,8,99,78,83,105,112,107,"MED1112-11","MED1112-11","MED1112-11","MED1112-11","MED1112-11","BSB273B-3",-0.350438868132672
"C07","933000320045735","M","M772",-3,2.33333333333333,2,2,1,2,104,83,88,110,117,112,"MED1114-4","MED1114-4","MED1114-4","MED1114-4","MED1114-4","BSB273B-14",-1.18263347670829
"C07","933000320045736","F","F716",62.75,1,0,13,12,5,105,84,89,111,118,113,"MED1110-16","MED1110-16","MED1110-16","MED1110-16","MED1110-16","BSB273B-8",-0.250622735971361
"C07","933000320045740","F","F715",73.5,0,1,5,3,0,104,83,88,110,117,112,"MED1110-15","MED1110-15","MED1110-15","MED1110-15","MED1110-15","BSB273B-7",-0.872513917020979
"C07","933000320045744","M","M771",2,32.6666666666667,8,13,15,23,105,84,89,111,118,113,"MED1114-3","MED1114-3","MED1114-3","MED1114-3","MED1114-3","BSB273B-13",1.10354011933389
"C07","933000320045777","F","F705",148,0.333333333333333,2,8,6,7,105,84,89,111,118,113,"MED1110-5","MED1110-5","MED1110-5","MED1110-5","MED1110-5","BSB273B-5",0.249988778250082
"C07","933000320045778","M","M765",16.75,36.6666666666667,14,16,18,27,105,84,89,111,118,113,"MED1113-13","MED1113-13","MED1113-13","MED1113-13","MED1113-13","BSB273B-15",1.64642037003615
"C07","933000320045781","F","F703",19.25,13.6666666666667,5,6,7,4,105,84,89,111,118,113,"MED1110-3","MED1110-3","MED1110-3","MED1110-3","MED1110-3","BSB273B-3",-0.236926620495828
"C07","933000320045784","M","M766",48.5,4.33333333333333,4,14,14,4,106,85,90,112,119,114,"MED1113-14","MED1113-14","MED1113-14","MED1113-14","MED1113-14","BSB273B-16",0.0961058404348319
"C07","933000320045785","M","M779",86.5,1.33333333333333,1,11,1,4,106,85,90,112,119,114,"MED1114-11","MED1114-11","MED1114-11","MED1114-11","MED1114-11","BSB273B-13",-0.209587589891849
"C07","933000320045787","F","F706",-0.75,0,0,1,0,0,105,84,89,111,118,113,"MED1110-6","MED1110-6","MED1110-6","MED1110-6","MED1110-6","BSB273B-6",-1.48861011457709
"C07","933000320045788","M","M780",-26,7,2,1,0,4,105,84,89,111,118,113,"MED1114-12","MED1114-12","MED1114-12","MED1114-12","MED1114-12","BSB273B-14",-1.09738291990766
"C07","933000320045791","M","M777",51,2,2,9,9,5,105,84,89,111,118,113,"MED1114-9","MED1114-9","MED1114-9","MED1114-9","MED1114-9","BSB273B-11",-0.289020445738557
"C07","933000320045792","F","F704",130.25,2.33333333333333,2,3,0,8,105,84,89,111,118,113,"MED1110-4","MED1110-4","MED1110-4","MED1110-4","MED1110-4","BSB273B-4",0.087068665817116
"C07","933000320045793","F","F712",-26.25,26,7,9,0,7,106,85,90,112,119,114,"MED1110-12","MED1110-12","MED1110-12","MED1110-12","MED1110-12","BSB273B-4",-0.444372819601581
"C07","933000320045794","F","F711",129.75,0.666666666666667,0,9,9,10,106,85,90,112,119,114,"MED1110-11","MED1110-11","MED1110-11","MED1110-11","MED1110-11","BSB273B-3",0.326676314536094
"C07","933000320045799","M","M778",50,3,2,0,0,3,105,84,89,111,118,113,"MED1114-10","MED1114-10","MED1114-10","MED1114-10","MED1114-10","BSB273B-12",-0.599325004493846
"C07","933000320045978","F","F707",0,0,0,0,0,0,107,86,91,113,120,115,"MED1110-7","MED1110-7","MED1110-7","MED1110-7","MED1110-7","BSB273B-7",NA
"C07","933000320045988","F","F708",4.75,36.3333333333333,15,18,19,6,107,86,91,113,120,115,"MED1110-8","MED1110-8","MED1110-8","MED1110-8","MED1110-8","BSB273B-8",0.737564162322958
"C07","933000320045990","M","M764",99.5,0.666666666666667,0,2,12,4,107,86,91,113,120,115,"MED1113-12","MED1113-12","MED1113-12","MED1113-12","MED1113-12","BSB273B-14",-0.0776301236316481
"C07","933000320045997","M","M763",38,5,3,14,20,19,107,86,91,113,120,115,"MED1113-11","MED1113-11","MED1113-11","MED1113-11","MED1113-11","BSB273B-13",1.38161816925323
"C07","933000320046078","F","F725",6.75,39,6,12,10,10,102,81,86,108,115,110,"MED1112-9","MED1112-9","MED1112-9","MED1112-9","MED1112-9","BSB273B-1",0.173361921457999
"C07","933000320046081","F","F726",31.75,0.666666666666667,0,1,0,1,102,81,86,108,115,110,"MED1112-10","MED1112-10","MED1112-10","MED1112-10","MED1112-10","BSB273B-2",NA
"C07","933000320046086","F","F717",104.25,1.33333333333333,2,12,15,3,103,82,87,109,116,111,"MED1112-1","MED1112-1","MED1112-1","MED1112-1","MED1112-1","BSB273B-1",0.0736092851380662
"C07","933000320046088","M","M752",-0.25,2.66666666666667,2,2,2,2,102,81,86,108,115,110,"MED1112-16","MED1112-16","MED1112-16","MED1112-16","MED1112-16","BSB273B-10",-1.22882055148887
"C07","933000320046092","M","M773",85.25,0,0,14,15,14,103,82,87,109,116,111,"MED1114-5","MED1114-5","MED1114-5","MED1114-5","MED1114-5","BSB273B-15",0.668233382776247
"C07","933000320046093","F","F718",48.75,0,0,1,8,2,104,83,88,110,117,112,"MED1112-2","MED1112-2","MED1112-2","MED1112-2","MED1112-2","BSB273B-2",-0.648174109630094
"C07","933000320046099","M","M751",96,0,0,19,20,9,102,81,86,108,115,110,"MED1112-15","MED1112-15","MED1112-15","MED1112-15","MED1112-15","BSB273B-9",1.12912376748249
"C07","933000320046127","F","F721",0.75,31,10,11,10,10,96,75,80,102,109,104,"MED1112-5","MED1112-5","MED1112-5","MED1112-5","MED1112-5","BSB273B-5",-0.119289237228019
"C07","933000320046129","F","F722",-43.25,1.66666666666667,0,0,0,0,96,75,80,102,109,104,"MED1112-6","MED1112-6","MED1112-6","MED1112-6","MED1112-6","BSB273B-6",NA
"C07","933000320046131","M","M770",-4.5,29.6666666666667,8,13,13,15,97,76,81,103,110,105,"MED1114-2","MED1114-2","MED1114-2","MED1114-2","MED1114-2","BSB273B-12",0.326351383706256
"C07","933000320046135","M","M757",17,5.33333333333333,1,7,10,7,98,77,82,104,111,106,"MED1113-5","MED1113-5","MED1113-5","MED1113-5","MED1113-5","BSB273B-15",-0.620924955801811
"C07","933000320046141","M","M753",0,0,0,0,0,0,96,75,80,102,109,104,"MED1113-1","MED1113-1","MED1113-1","MED1113-1","MED1113-1","BSB273B-11",NA
"C07","933000320046143","F","F724",83.75,3.33333333333333,3,1,10,4,97,76,81,103,110,105,"MED1112-8","MED1112-8","MED1112-8","MED1112-8","MED1112-8","BSB273B-8",-0.30991080683678
"C07","933000320046144","M","M754",65.25,2.66666666666667,2,10,10,14,96,75,80,102,109,104,"MED1113-2","MED1113-2","MED1113-2","MED1113-2","MED1113-2","BSB273B-12",0.0480433795279637
"C07","933000320046148","M","M756",101.75,0.666666666666667,0,15,16,4,104,83,88,110,117,112,"MED1113-4","MED1113-4","MED1113-4","MED1113-4","MED1113-4","BSB273B-14",0.25517130131181
"C07","933000320046376","F","F720",130.75,0,0,3,14,17,98,77,82,104,111,106,"MED1112-4","MED1112-4","MED1112-4","MED1112-4","MED1112-4","BSB273B-4",1.07040003537361
"C07","933000320046377","F","F710",31.5,32,11,10,5,14,97,76,81,103,110,105,"MED1110-10","MED1110-10","MED1110-10","MED1110-10","MED1110-10","BSB273B-2",0.703046939536602
"C07","933000320046379","M","M769",45.5,13,3,9,12,9,97,76,81,103,110,105,"MED1114-1","MED1114-1","MED1114-1","MED1114-1","MED1114-1","BSB273B-11",-0.12293491478846
"C07","933000320046382","F","F709",6.5,45,12,14,12,10,97,76,81,103,110,105,"MED1110-9","MED1110-9","MED1110-9","MED1110-9","MED1110-9","BSB273B-1",0.473974504729203
"C07","933000320046390","M","M758",22,3.66666666666667,3,2,9,1,98,77,82,104,111,106,"MED1113-6","MED1113-6","MED1113-6","MED1113-6","MED1113-6","BSB273B-16",-0.807021510180154
"C07","933000320046393","F","F719",-10,41.6666666666667,12,15,11,12,98,77,82,104,111,106,"MED1112-3","MED1112-3","MED1112-3","MED1112-3","MED1112-3","BSB273B-3",0.722814376955411
"C07","933000320046397","M","M776",11,5.66666666666667,5,12,10,2,98,77,82,104,111,106,"MED1114-8","MED1114-8","MED1114-8","MED1114-8","MED1114-8","BSB273B-10",-0.187072508943878
"C07","933000320046605","F","F701",6,41.6666666666667,11,19,17,19,100,79,84,106,113,108,"MED1110-1","MED1110-1","MED1110-1","MED1110-1","MED1110-1","BSB273B-1",2.09081392691807
