"cohort","rfid","sex","labanimalid","esc11_14_mean","mean_sha_last3","pr01","pr02","pr03","shock03","lga_11_age","sha_08_age","pr_01_age","pr_02_age","pr_03_age","shock_03_age","lga_11_box","pr_01_box","pr_02_box","pr_03_box","sha_08_box","shock_03_box","add_ind"
"C01","933000120117351","F","F8",0.25,0,0,0,1,0,106,86,91,113,116,121,"MED1110-8","MED1110-8","MED1110-8","MED1110-8","MED1110-8","MED1110-8",-1.55695229012917
"C01","933000120117352","M","M13",78.75,1.33333333333333,4,4,10,1,107,87,92,114,117,122,"K2-6","K2-6","K2-6","K2-6","K2-6","MED1110-13",-0.0787348269052398
"C01","933000120117355","F","F12",99.75,2.33333333333333,0,11,11,18,107,87,92,114,117,122,"MED1110-12","MED1110-12","MED1110-12","MED1110-12","MED1110-12","MED1110-4",-0.311895363589372
"C01","933000120124696","M","M50",-10.75,8.33333333333333,4,2,1,2,100,80,85,107,110,115,"Q2-2","Q2-2","Q2-2","Q2-2","Q2-2","MED1110-13",-1.05270392483002
"C01","933000120124697","F","F16",81.5,0.666666666666667,2,12,13,34,101,81,86,108,111,116,"MED1110-16","MED1110-16","MED1110-16","MED1110-16","MED1110-16","MED1110-8",0.606234449417433
"C01","933000120124698","M","M51",-13.25,6,5,8,7,6,100,80,85,107,110,115,"Q2-3","Q2-3","Q2-3","Q2-3","Q2-3","MED1110-14",-0.781329674110606
"C01","933000120124699","F","F14",201.5,0.666666666666667,2,4,8,5,101,81,86,108,111,116,"MED1110-14","MED1110-14","MED1110-14","MED1110-14","MED1110-14","MED1110-6",-0.37752706106973
"C01","933000120124700","F","F15",1,0,0,1,1,NA,101,81,86,108,111,NA,"MED1110-15","MED1110-15","MED1110-15","MED1110-15","MED1110-15",NA,-1.45524587708534
"C01","933000120124701","F","F1",45.5,17.6666666666667,10,13,11,26,107,87,92,114,117,122,"MED1110-1","MED1110-1","MED1110-1","MED1110-1","MED1110-1","MED1110-1",0.67575223455766
"C01","933000120124703","F","F2",58,11.3333333333333,6,12,11,26,107,87,92,114,117,122,"MED1110-2","MED1110-2","MED1110-2","MED1110-2","MED1110-2","MED1110-2",0.692414989404616
