"cohort","rfid","sex","labanimalid","esc11_14_mean","mean_sha_last3","pr01","pr02","pr03","shock03","lga_11_age","sha_08_age","pr_01_age","pr_02_age","pr_03_age","shock_03_age","lga_11_box","pr_01_box","pr_02_box","pr_03_box","sha_08_box","shock_03_box"
"C04","933000120138662","M","M455",122.75,2.33333333333333,0,11,14,21,88,68,73,95,98,104,"NA","NA","NA","NA","NA","13-MED1110"
"C04","933000120138663","F","F413",58.25,0,0,9,8,9,85,65,70,92,95,101,"13-MED1110","13-MED1110","13-MED1110","13-MED1110","13-MED1110","2-MED1110"
"C04","933000120138665","M","M453",79.25,12.6666666666667,3,11,10,8,88,68,73,95,98,104,"NA","NA","NA","NA","NA","11-MED1110"
"C04","933000120138666","F","F412",15.25,33,6,14,12,10,85,65,70,92,95,101,"12-MED1110","12-MED1110","12-MED1110","12-MED1110","12-MED1110","1-MED1110"
"C04","933000120138667","M","M470",-3.75,NA,NA,2,0,2,85,NA,NA,92,95,101,"NA",NA,"NA","NA",NA,"10-MED1110"
"C04","933000120138668","M","M469",114,NA,2,8,11,10,85,NA,70,92,95,101,"NA","NA","NA","NA",NA,"9-MED1110"
"C04","933000120138669","M","M454",-4.5,12.3333333333333,4,9,9,15,88,68,73,95,98,104,"NA","NA","NA","NA","NA","12-MED1110"
"C04","933000120138670","M","M462",71.25,1.66666666666667,4,13,12,5,85,65,70,92,95,101,"NA","NA","NA","NA","NA","12-MED1110"
"C04","933000120138672","F","F422",56,10.3333333333333,6,5,0,25,88,68,73,95,98,104,"NA","NA","NA","NA","NA","1-MED1110"
"C04","933000120138673","M","M472",78.25,NA,1,11,13,9,85,NA,70,92,95,101,"NA","NA","NA","NA",NA,"12-MED1110"
"C04","933000120138674","F","F410",3,0.666666666666667,1,2,16,14,88,68,73,95,98,104,"10-MED1110","10-MED1110","10-MED1110","10-MED1110","10-MED1110","7-MED1110"
"C04","933000120138675","F","F409",17.75,49.6666666666667,13,12,12,27,88,68,73,95,98,104,"9-MED1110","9-MED1110","9-MED1110","9-MED1110","9-MED1110","6-MED1110"
"C04","933000120138677","F","F411",19.5,33,7,16,20,22,88,68,73,95,98,104,"11-MED1110","11-MED1110","11-MED1110","11-MED1110","11-MED1110","8-MED1110"
"C04","933000120138679","F","F401",46.25,7,4,12,13,21,85,65,70,92,95,101,"1-MED1110","1-MED1110","1-MED1110","1-MED1110","1-MED1110","1-MED1110"
"C04","933000120138680","F","F421",51.75,39,6,11,11,26,88,68,73,95,98,104,"NA","NA","NA","NA","NA","8-MED1110"
"C05","933000120138406","F","F514",66.25,0,0,8,5,14,106,86,91,114,119,122,"14-MED1110","14-MED1110","14-MED1110","14-MED1110","14-MED1110","6-MED1110"
"C05","933000120138407","M","M567",15,1,1,2,4,2,107,87,92,115,120,123,"13-MED1113","13-MED1113","13-MED1113","13-MED1113","13-MED1113","9-MED1110"
"C05","933000120138409","M","M568",0.75,0.333333333333333,0,0,0,1,104,84,89,112,117,120,"14-MED1113","14-MED1113","14-MED1113","14-MED1113","14-MED1113","10-MED1110"
"C05","933000120138410","F","F518",24,16.3333333333333,5,12,12,9,107,87,92,115,120,123,"NA","NA","NA","NA","NA","2-MED1110"
"C05","933000120138411","F","F515",40.25,0.333333333333333,2,13,2,NA,108,88,93,116,121,NA,"15-MED1110","15-MED1110","15-MED1110","15-MED1110","15-MED1110",NA
"C05","933000120138412","F","F511",-18.75,36.5,10,10,10,6,108,88,93,116,121,124,"11-MED1110","11-MED1110","11-MED1110","11-MED1110","11-MED1110","3-MED1110"
"C05","933000120138414","M","M563",-2.25,0,0,0,0,2,106,86,91,114,119,122,"9-MED1113","9-MED1113","9-MED1113","9-MED1113","9-MED1113","13-MED1110"
