"cohort","rfid","sex","labanimalid","esc11_14_mean","mean_sha_last3","pr01","pr02","pr03","shock03"
"C04","933000120138601","M","M452",-3.75,0.333333333333333,1,0,0,1
"C04","933000120138603","M","M460",-104.75,9,2,0,0,15
"C04","933000120138604","F","F405",-0.75,0.333333333333333,0,0,0,0
"C04","933000120138605","F","F419",91.75,17.3333333333333,6,12,12,4
"C04","933000120138619","F","F408",39.25,22.6666666666667,3,10,10,26
"C04","933000120138629","M","M458",-9.25,12.3333333333333,3,6,3,20
"C04","933000120138657","M","M461",67,2,0,3,2,5
"C04","933000120138661","M","M456",4,20.3333333333333,7,4,4,24
"C04","933000120138662","M","M455",122.75,2.33333333333333,0,11,14,21
"C04","933000120138663","F","F413",58.25,0,0,9,8,9
"C04","933000120138665","M","M453",79.25,12.6666666666667,3,11,10,8
"C04","933000120138666","F","F412",15.25,33,6,14,12,10
"C04","933000120138669","M","M454",-4.5,12.3333333333333,4,9,9,15
"C04","933000120138670","M","M462",71.25,1.66666666666667,4,NA,NA,5
"C04","933000120138672","F","F422",56,10.3333333333333,6,5,0,25
"C04","933000120138674","F","F410",3,0.666666666666667,1,2,16,14
"C04","933000120138675","F","F409",17.75,49.6666666666667,13,12,12,27
"C04","933000120138677","F","F411",19.5,33,7,16,20,22
"C04","933000120138679","F","F401",46.25,7,4,12,13,21
"C04","933000120138680","F","F421",51.75,39,6,11,11,26
"C05","933000120138406","F","F514",66.25,0,0,8,5,14
"C05","933000120138407","M","M567",15,1,1,2,4,2
"C05","933000120138409","M","M568",0.75,0.333333333333333,0,0,0,1
"C05","933000120138410","F","F518",24,16.3333333333333,5,12,12,9
"C05","933000120138412","F","F511",-18.75,36.5,10,10,10,6
"C05","933000120138414","M","M563",-2.25,0,0,0,0,2
"C05","933000120138415","M","M561",25.5,20.3333333333333,7,14,13,16
"C05","933000120138417","M","M564",9.75,2.66666666666667,2,12,1,6
"C05","933000120138420","M","M562",10.25,17.6666666666667,12,12,13,3
"C05","933000120138424","F","F508",-7.75,27.3333333333333,14,10,11,24
"C05","933000120138427","M","M565",84.75,0.333333333333333,0,8,12,15
"C05","933000120138434","M","M566",0.5,0,0,0,0,1
"C05","933000120138437","M","M580",73.75,0.666666666666667,2,10,11,2
"C05","933000120138440","F","F530",139,0.333333333333333,1,11,14,6
"C05","933000120138447","F","F529",135.5,2.33333333333333,2,11,16,29
"C05","933000120138454","F","F527",114.5,1.66666666666667,0,12,8,14
"C05","933000120138455","M","M579",-4.75,1.33333333333333,2,0,1,3
"C05","933000120138494","F","F501",9.5,44.3333333333333,8,13,14,16
"C05","933000120138496","F","F502",3.75,0.333333333333333,1,1,1,0
"C05","933000120138500","M","M552",-1.25,1,1,0,0,2
"C05","933000120138504","M","M551",-1,2,0,1,9,8
"C05","933000120138607","F","F512",-54.5,20.6666666666667,9,0,2,8
"C05","933000120138609","M","M558",1.25,0.333333333333333,1,4,4,4
